id,batch,folio,date,year,correspondent,n_alpha_rows,has_syllabary,has_geminate,has_nulls,n_nulls,has_fw,n_fw,has_nomenclator,n_nomenclator,has_latin_fw,notes
71,1,36r,1462-07-16,1462,Johanne de Camerino,3,False,False,True,15,True,,True,25,False,"FWs: Qua, que, qui, per, ch, non, pch, come, rqn"
72,1,36v,1465-06-09,1465,Azone Vicecomite (Locumtenente Ducatus Bari),2,False,True,True,11,True,,True,55,False,VERY extensive nomenclator. Pavia location noted. FW section present
73,1,37r,1463-06-16,1463,Lancelotho de Figino,2,False,False,False,0,True,,True,25,False,Nihil importat: q+ ... o↑o markers. Romagna focus
74,1,37v,1463-08-23,1463,Antonio de Besana,2,True,True,True,12,True,,True,40,False,Full syllabary + extensive nomenclator
75,1,38r,1463-10-18,1463,Nardinis Archiepo Mediolanen,3,True,False,True,13,True,,True,50,False,FULL cipher: syllabary + FWs + 50 nomenclator. Numbers 13-18 as nulls
76,1,38v,1463-11-18,1463,Nicolosio de Spedia,2,True,False,True,9,True,,True,40,False,Full syllabary. Nulls include: sic
77,1,39r,1464-01-18,1464,Gyrardo de Collis,2,False,False,True,6,True,,True,30,False,"Italian FWs: Pertanto, siche, quando, porche, che, non, come. Nulls include: con, no, qmodo"
78,1,39v,1464-03,1464,Philippo Perusino,3,True,False,True,12,False,,True,20,False,Full syllabary. 3 alphabets
79,1,40r,1464,1464,Raphaele Caymo,3,True,False,True,10,True,,True,65,False,"EXTREMELY extensive: 65+ nomenclator in 4 columns. Geographic (Constantinople, Morea, etc.)"
80,1,40v,1464-06-02,1464,Johanne de Serra milite Januen,2,False,False,True,13,True,,True,30,False,"FWs: Qua, que, qui, quo, ch, of, non, per, nuy, vuy, come"
81,1,41r,1464-06-10,1464,Baptista de Goano milite Januen,2,False,False,True,12,True,,True,25,False,"FWs: Qua, que, qui, quo, of, non, nuy, vuy, per, come"
82,1,41v,1464-08-25,1464,Marco Coyro,2,False,True,True,8,True,,True,15,False,"Small cipher. Italian FWs: Quando, Perche, che, Non, Come"
83,1,42r,1464,1464,Tristano Sphortia (seconda),3,True,True,True,15,True,,True,40,False,FULL cipher: 3 alphabets + syllabary + gemine + FWs + 40 nomenclator
84,2,42v,1465-01-27,1465,Roberto Malatesta,3,True,False,True,8,True,14.0,True,50,False,"Full syllabary (Ab-Vb). Very large nomenclator incl D.Alex Sforz, D.Thadeus Immole. 14 FW entries (Qua/que/qui/non/che/opecto/per/come/qn/La S.v/La S.foa/la M.foa/las far/las for)."
85,2,43r,1465,1465,Christoforo Sacramorso Ariminensi,3,False,True,True,5,False,0.0,True,25,False,"Duplicate (bb-tt). Nomenclator incl Conte Jacomo, Conte de Vrbino, S.D. Malatesta, Mr Robertho, Arimino, Castel d Arimino, Cesenna."
86,2,43v,1465-01-22,1465,"Magro Ambrosio Grypho, Ducali Physico",3,False,True,True,7,True,5.0,True,30,False,"Ducal physician. Duplicate (bb-tt). FWs: che/perche/come/quando/Non. Nomenclator incl Rex Hungarie, Rex Boemie, various Duces and military terms."
87,2,44v,1465-02-16,1465,R.mo D.A. Car.li Reatino,4,False,False,True,12,True,12.0,True,60,False,"Very large. 4 alphabet rows. 12 nulls. FWs: Qua/que/qui/quo/of/ch/non/per/nuy/vuy/come/La S.vra. 60+ nomenclator entries incl military terms, Romagnol cities. D.Johes d Bentiuolis, Bononia added later."
88,2,45r,1465-04-23,1465,Egidiolo Oldovino,3,True,True,True,8,True,10.0,True,45,False,Full syllabary (Ab-Vb). Duplicate (bb-tt). FWs: Si/siche/pct/che/non/qui/que/La S.foa/La S.vra/La M.foa. Large nomenclator.
89,2,45v,1465-05-06,1465,Sacramoro Ariminensi,3,False,True,True,8,True,8.0,True,55,False,"Duplicate (bb-tt). FWs: Qua/que/perch/qn/come/La S.foa/La S.v/non/che/per. Very large nomenclator with Romagnol politics. S.Constantio Sforza, Comes Urbini, D.Sigismundus, D.Malatesta, D.Isotta etc."
90,2,46r,1465,1465,Petro de Pusterla,3,False,True,True,15,True,8.0,True,30,False,"Gemine (bb-tt). Very large null section (15 symbols including oto variants). FWs: Qua/que/che/of/come/Nuy/Vuy/non/La S.v. Nomenclator incl D.Sigismundus, D.Alex.Sfor, Terdona, Ptholomeus Colion etc."
91,2,46v,1465-08-15,1465,Robertho de Malatestis,3,False,True,True,8,False,0.0,True,40,True,"Duplicate (bb-tt). Nulls include ""et qdqd erit inter hec duo signa"" (null zone between two markers). Large nomenclator with Romagnol entries. Latin FWs: Tractatus, Succursus, Pax, Guerra. Also Perche, Pertanto, Mandare, Aspectaro, Faro, Dubito, Non dubito, Pthonoro."
92,2,47r,1465,1465,"Johanne Blancho, Cancellario",4,True,True,True,12,True,14.0,True,65,False,"MAJOR CIPHER. Full syllabary (Ab-Vb). 4 alphabet rows. Duplicate with ""pertanto"" suffix. FWs: Qua/que/qui/che/per/porch/come/La M.foa/La S.v/La S.foa/non/sichi/p. Enormous nomenclator (65+ entries). Comprehensive coverage of Italian political landscape."
93,2,47v,1465,1465,Antonio Laudensi Familiari,3,False,True,True,6,True,7.0,True,18,False,"Gemine (bb-tt). FWs: Qua/qui/come/perche/non/piu/La S.vra/La S.foa. Small nomenclator: Papa, La Sig.de venecia, Rex Ferdinandus, Florentini, Senenses, Dux Mutine, Marchio Mantue, Bolognesi, D.Manfredus de Corigia, D.Antonius de Corigir, Fanti, Cavalli, Lance, Denari."
94,2,48r,1465,1465,"Philippo Novariensi, Cancellario",3,False,True,False,0,True,10.0,True,30,False,"Gemine (bb-tt). FWs: Qua/que/qui/quo/che/perche/come/quando/non/La S.vra. Nomenclator incl military: Fanti, Cavalli, Lance, Denari, Balestre, Poluere, Contadini, Brescio, Soncino, Genedarme, Pizighittone, Lode, Commissario, Podesta. Practical/logistical cipher."
95,2,48v,1465,1465,Lodouico Petronio Senensi,4,False,True,True,6,False,0.0,True,22,True,"Unusual: nomenclator uses LATIN WORDS as codes (super ut, mons ut, postea, ventum, prudens, pur, comayre, fides, caviars, pondus, calor, potens, sagitta, stella, lumen, castellanus, vapor, albus, minime, sors, impacies, clodus ut). Very distinctive code style."
96,2,44r,1466-01-08,1466,Johannepervo Panicarola (existens poenes Regem Francorum),4,True,True,True,10,True,12.0,True,55,False,"MAJOR CIPHER. Full syllabary (Ab-Vb, 5 vowel rows). 4+ alphabet rows. Gemine. Extensive FW (Qua/que/qui/quo/che/per/pct/come/qn/La S.foa/La S.v/La S.foa). Nomenclator 55+ entries incl French political figures. Sent to France. Post-Alberti potential."
97,2,49r,1466-05-28,1466,R.D. epo Legionensi,3,True,True,True,7,True,5.0,True,30,False,Full syllabary (Ab-Vb). Gemine (bb-tt). FWs: Questo/Non/Si/come/Quando. Nomenclator 30 entries.
98,2,49v,1466-10-18,1466,Johanne de Bentauolis Bononiensi,4,True,True,True,8,True,14.0,True,55,False,MAJOR CIPHER. Full syllabary (Ab-Vb). 4 alphabet rows. FWs: Qua/que/qui/qn/come/per/pct/ch/prato/La S.v/La S.foa/La M.foa/Siche/non. 14 FW entries. Very large nomenclator (55+ entries). Post-Alberti (1466).
99,2,50r,1466-11-08,1466,"Lancelotho de Macedonia, oratore Regis Ferdinandi apd Regem Aragonum",3,False,True,True,10,True,16.0,True,45,False,"Numeric cipher (1-48 for alphabet, 100-1000 for nulls). FWs: Qua/que/qui/che/percts/qn/come/pertanto/sich/La S.v/la M.foa/La S.foa/pur/Impho/non/Siche. 16 FW entries. Large nomenclator with numbered entities (Papa=100, Imperator=200...Pratica=40000). ALSO: Duple (bb-tt) with syllable codes (Siche/ru)."
100,2,50v,1467-05-13,1467,R.mo D. St. Archiepo nunc et Cardinali Mediolanensi,3,True,True,False,0,True,14.0,True,40,False,Full syllabary (Ab-Vb). Gemine/Cominuor (bb-tt). FWs: Qua/que/qui/quo/che/perche/come/qn/non/la S.vra/La S.foa/La M.foa. 14 FW entries. Nomenclator 40+ entries. Cardinal of Milan. La M.vra/La S.foa/La M.foa = 3 honorifics.
101,2,51r,1467-06-18,1467,Jo. Papazono Bononiensi,3,False,True,True,8,True,14.0,True,25,False,"Numeric cipher (1-50 for alphabet). Duple (bb-tt) with syllable codes. FWs: Qua/que/qui/pro/pct/che/qn/come/tanto/La S.v/La S.foa/la M.pa/La S.foa/no. Nomenclator with numeric codes (Papa=100, Imperator=200...Pratica=40000). Siche/ru. 14 FW entries."
102,2,51v,1467-10,1467,"Sphortia de Betinis, Florentine Ducali Familiari",2,False,True,True,8,False,0.0,True,18,True,"Nulls include Latin words: si, sic, per, non, //, ros, pur, andj, ets. Duplicate (bb-tt). Small nomenclator focused on Milanese politics: Dux Mediolani, Marchio Montisferrati, Dux Sabbaudie, Philippus de Sabbaudie, Rex Francie, Ast, Vercelle, Gentes, Denari, Subsidium, Treugue, Pax, Sabbaudienses, Pedites, Equites."
103,2,52r,1468-03-16,1468,Antonio Troto,3,True,True,True,6,False,0.0,True,20,False,"Full syllabary (Ab-Vb). Geminate (bb-tt). Nomenclator: Papa, Cardinales, Legatus Bononie, Malvetij, Rex Ferdinandus, Florentini, Veneti, Ptholomeo Coleone, Petro de Cosmo, Sre de Fauenza/Forli/Immola, Cavalli, Fanti, Denari, La S.vra, la M.foa, La S.foa."
104,2,52v,1468-04-28,1468,"Conrado Vuagner, ecclesie de Rossuil pastorali Rectore",3,False,True,True,8,False,0.0,True,12,False,"German correspondent (Rossuil). Nulls include: c, cc, ccc, 400, et, no, sic, qe. Gemine (bb-tt). Small nomenclator: Papa, Imperatore, Rex Francie, Dux Burgundie, Dux Mediolani, Sabbaudienses, Teuthones, Dux Sabbaudie, Veneti, Liga, Confederati, Guerra, Pax, Accordium."
105,2,53r,1468,1468,Ser.mo D. Cesare,3,False,True,True,8,False,0.0,True,22,True,"Nulls include ""et qdqd erit inter ista duo signa"" (null zone markers). Duplicate (bb-tt). Latin nomenclator: Papa, Rex Francie, Dux Mediolani, Rex Ferdinandus, Dux Ferrarie, Dux Mutine, M.chio Mantuan, M.chio Montisferr, Oratores, Collegium Card, Numi, Parentato, Pax, Bellum, Dux Burgundie, Conducta, Consilium."
106,2,53v,1468,1468,"Albertho Magalotho, Cancellario apd Regem Francorum",2,True,True,True,6,True,5.0,True,20,True,"Syllabary but partial (Ab/Eb/Ib/Ob, Ad/Ed/Id/Od + Af/Ef/If/Of/Uf + Ag/Eg/Ig/Og/Ug). FWs: Que/Qua/non/si/La M.vra. Latin nomenclator with code-words (quare/quia/tunc/semp/cessat/instat/vellent/durant/olim/amicus). Sent to France."
107,2,54r,1468-09-22,1468,Sphortia Bettino Florentino,4,True,True,True,8,True,10.0,True,35,False,Full syllabary (Ab-Vb). 4 alphabet rows. Gemine (bb-tt). FWs: Qua/que/qui/ct/pct/qn/come/La M.foa/La S.v/non. 35+ nomenclator entries. Florentine correspondent.
108,2,54v,1468-11,1468,Antonej Dandoli Veneti (extractr de Venetiis),5,True,True,True,10,False,0.0,True,15,True,"5 alphabet rows (extremely deep). Partial syllabary (Ab/Ib). Gemine (ff/ll/ff/tt/cc). Nomenclator: Dux Sabbaudie, Pace, Rex Francor, Treugue, Veneti/La S.vra, Dux Burgundie, Dux Mediolani, Liga, Philippo, Tamen. Uses code-words (quomodo/qi/accurate/Infinite/nunc dic/Jgo/ppea/immondo/animose/Tez)."
109,2,55r,1468,1468,Theodoro Plato,3,True,True,True,7,True,7.0,True,15,False,"Syllabary (Ab-Vb partial: Ab/Ib/Of + subsets). Gemine (bb-tt). FWs: Qua/que/qui/che/come/nuy/Vra S.ria. Small nomenclator: Papa, Imperatore, Dux Austrie, Dni de Liga, Janua, Milano, Rex Francor, Dux Burgundie, Dux Sabbaudie, Dniium Venetor, Rex Hispanie, Philippo a mons."
110,2,55v,1468,1468,"P.mo D. Jo. Ar. epo Novarien, Nunc et Cardinali",4,False,True,True,12,True,14.0,True,40,False,"Cardinal of Novara. 4 alphabet rows. Gemine (bb-tt). FWs: Siche/Adunqe/Impho/pche/perho/vnde/v.S.ta/Huy/vuy/che/q/pur. ~14 FW entries. Large nomenclator (40+) incl many Cardinals by name (Vicecancell, Rhoano, S.Angelo, Niceno, S.Petri in vincula, Ursino, S.Marco, Mantue, S.Sisto, S.Petri ad vincula). D.Leonardo Dato, Secretario aplico."
111,2,56r,1468-12-17,1468,Reuer.mo D. Car.li Reatino,3,True,True,True,12,True,12.0,True,75,False,"VERY LARGE CIPHER. Full syllabary (Ab-Vb). Gemine (bb-tt). FWs: Qua/que/qui/che/per/non/pct/qn/come/La S.v/La S.de n.s/La S.foa. Enormous nomenclator (75+ entries) covering all of Italy: political figures, cities, regions (Roma, Napoli, in S.Pietro, in S.Marco, in regno, in Tuscia, in Lombardia, in terris venetos, Laquila, Abruzo, Campania). Most comprehensive geographic coverage seen."
112,2,56v,1468,1468,"Baptista Baldizono, Castellano Amerie",3,False,True,True,5,False,0.0,True,15,False,"Gemine (bb-tt). Plus second cipher on same page: ""Cyphra cum nouo Familiari et amico"" - very simple (1 alphabet row, nulls only). Nomenclator: Papa, Rex Ferdinadus, Rex Aragonii, Veneti, Rex Renatus, Dux Johannes, Corsica, el Turco, Janua. Subscriptio sigils included."
113,2,56v-b,1468,1468,Nouo Familiari et amico (of Baptista Baldizono),2,False,False,True,10,False,0.0,False,0,False,"Very simple cipher, second on page. Alphabet + nulls only. ""Subscriptio nois utriusqe partis sit hoc modo"" - includes signature symbols."
114,2,57r,1468,1468,Angelo Gerardino epo Sinueslano,3,False,True,True,12,False,0.0,True,30,False,"Duplicate (bb-tt). Large null section (12+). Nomenclator 30 entries incl Barczalonn, Gentes armigere, Liga, Pedites, Armati, Galee, Naues + honorifics (In vra M.ta, La M. fur, La Jlma Sria vra)."
115,2,57v,1469-04-28,1469,Roberto Malatesto,2,False,True,True,8,True,5.0,True,30,False,Second cipher with Roberto Malatesta (compare id 84). Duplicate (bb-tt). FWs: Perche/Che/Quando/Come. Nomenclator 30 entries. Simpler than his 1465 cipher.
116,2,58r,1469-06-13,1469,Francisco Quirino Veneto,3,False,True,False,0,True,3.0,True,25,False,"Venetian correspondent. Duplicate (bb-tt). FWs: Chi/Che/Come/Cosi. Nomenclator: Papa, Sria de Venetia, Re Ferrando, Fiorentini, Dvca de Milano, Marchest de Mantoa, Ptholomeo, Sre Alexandro, Bolognesi, S. de Arimino, Conte d Vrbino, Neapolione, Ambaxatori, Pace, Guerra, Bologna, Faenza, Cesena, Imola, Pesaro, Armati, Capitanei, Conducteri, Campo, La Chiesa, Consilio, Pregon, Inimico. Subscriptio: Franc. O — Virino — Ac."
117,2,58v,1469-07-18,1469,Petro de Modignano Laudensi,2,True,True,True,12,True,10.0,True,18,False,"Syllabary (Ab-Vb partial). Gemine (bb-tt). Nulls extensive (sic/va/vi/vo/vol/thic/dic/ro/H/Az/o/r). FWs: Qua/que/qui/qn/come/perch/come/ch/La S.foa/La S.v/non. Nomenclator: Papa, Imperatore, Rex Francor, Dux Mediolani, Rex Ferdinand, Conte d vrbino, Sre Alexandro, Cardinali, Ptholo Coleone, Dvca de Modena, Dvca Johanne, Venetiani, Fiorentini, Galee, Dinari, Arimino, Sre Robertho, Subsidio, Dvca de Sauoya, Accordio, Gentedarme."
118,2,59r,1469-10,1469,"P.mo D. St. Archiepo Mediolani, nunc etiam Cardinali",4,True,True,True,7,True,10.0,True,30,False,"Cardinal Archbishop of Milan. Full syllabary (Ab-Vb). 4 alphabet rows. Geminat (cc/dd/ff/gg/tt). FWs: Qua/que/qui/qn/perch/come/ch/La S.foa/La S.v/non. Nomenclator: Papa, Imperatore, Cardinali, Re Ferrando, Re di Franza, Duca Johanne, Duca de Borgogna, Re Raynero, Re d Inghilterra, Re di Spagna, Re d Hungaria, Turcho, Venetiani, Fiorentini, Bologsesi, Duca de Ghiena, Duca de Borbon, Conte de Vrbino, S.Alexandro, Neapolione, Dinari, Caualli."
119,2,59v,1470-02,1470,Alexandro Spinula,2,False,True,True,8,True,8.0,True,50,False,Duplicate (bb-tt). FWs: Che/Quando/Perche/Ilperche/Come/Si/Non. Enormous nomenclator (50+ entries) covering Italian and international politics. Includes conditional phrases: Se accadesse/potria essere/essendo cosi/Pensate/Sta bene/In caso che non/p.omr/Dote. Very expressive code system. Alexander Spinula signature symbol at bottom.
