folio,lang,quire,n_tokens,n_lines,first_token
f26v,B,4,91,9,pchedar
f27r,A,4,91,13,kzor
f27v,A,4,57,8,fochof
f28r,A,4,66,9,pchodar
f28v,A,4,65,9,kcshol
f29r,A,4,64,9,poraiin
f29v,A,4,93,12,kooiin|koaiin
f2r,A,1,104,13,kydainy
f2v,A,1,58,8,kooiin
f30r,A,4,94,13,okchezy
f30v,A,4,62,11,cj1hzcj2hain
f31r,B,4,101,16,keedey
f31v,B,4,107,11,podair
f32r,A,4,76,19,fchoiin
f32v,A,4,85,11,kcheodaiin
f33r,B,5,72,7,tcshdar
f33v,B,5,106,11,tar
f34r,B,5,145,16,pcheoepchy
f34v,B,5,115,11,kzchdy
f35r,A,5,90,15,cj1hoo
f35v,A,5,85,21,parchor
f36r,A,5,61,9,pchafdan
f36v,A,5,71,14,pcharozy
f37r,A,5,75,11,tocphol
f37v,A,5,88,23,kcshody
f38r,A,5,41,6,tolor
f38v,A,5,63,8,okchop
f39r,B,5,154,16,tedo
f39v,B,5,140,14,pdair
f3r,A,1,114,20,tcsheoz
f3v,A,1,82,14,koaiin
f40r,B,5,98,11,pchey
f40v,B,5,106,19,pchedain
f41r,B,6,98,11,pchey
f41v,B,6,66,7,pcheody
f42r,A,6,138,23,csho
f42v,A,6,110,15,pchoctoH
f43r,B,6,153,14,tarodaiin
f43v,B,6,152,16,pdzairy
f44r,A,6,73,11,tcshodpy
f44v,A,6,95,13,tcsho
f45r,A,6,87,11,pykydal
f45v,A,6,85,11,korary
f46r,B,6,157,15,pcheocphy
f46v,B,6,111,12,pody
f47r,A,6,78,11,pchair
f47v,A,6,85,14,pcsheot
f48r,B,6,87,9,pcshdaiin
f48v,B,6,124,11,pcheodchy
f49r,A,7,110,21,pocshol
f49v,A,7,166,51,=f=
f4r,A,1,64,13,kodalchy
f4v,A,1,81,14,pchooiin
f50r,B,7,89,10,pcsheor
f50v,B,7,98,11,tchy
f51r,A,7,86,15,tcsholdchy
f51v,A,7,78,13,pocshody
f52r,A,7,68,8,tdokchcfhy
f52v,A,7,75,14,pchor
f53r,A,7,56,9,kodam
f53v,A,7,73,13,tcshor
f54r,A,7,109,12,podaiin
f54v,A,7,89,16,pcheodar
f55r,B,7,124,13,podaiin
f55v,B,7,103,12,kcheedchdy
f56r,A,7,95,19,oj1chal
f56v,A,7,86,16,kcheat
f57r,B,8,86,11,poeeockhey
f57v,B,8,193,1,dairol
f58r,A,8,366,41,kor
f58v,A,8,362,39,tol
f5r,A,1,55,7,kcshody
f5v,A,1,45,6,kocheor
f65r,C,8,3,1,otaim
f65v,C,8,44,6,cphy
f66r,B,8,352,80,rary
f66v,B,8,112,13,okeodof
f67r1,C,9,154,6,teeodaiin
f67r2,C,9,174,30,ykeez
f67v1,C,9,72,1,dchez
f67v2,C,9,61,5,otchdy
f68r1,C,9,65,6,cshokeey
f68r2,C,9,81,7,tcsheeor
f68r3,C,9,103,2,odeed
f68v1,C,9,93,2,cshez
f68v2,C,9,100,5,teeody
f68v3,C,9,164,6,tchedy
f69r,C,10,167,4,tcheeoz
f69v,C,10,135,3,dair
f6r,A,1,85,14,foar
f6v,A,1,114,21,koar
f70r1,C,10,108,3,ooooooooolar
f70r2,C,10,249,18,otchey
f70v1,C,10,84,2,csheal
f70v2,C,10,140,5,okcheo
f71r,C,11,91,1,olkeeody
f71v,C,11,99,3,ocsheo
f72r1,C,11,102,2,okaiin
f72r2,C,11,110,3,ofchdad1y
f72r3,C,11,165,2,okeey
f72v1,C,11,102,1,otar
f72v2,C,11,106,1,wz
f72v3,C,11,122,2,zoeez
f73r,C,12,96,1,otaly
f73v,C,12,96,1,okol
f75r,B,13,418,52,kchedykary
f75v,B,13,357,65,pchedar
f76r,B,13,555,55,potchokor
f76v,B,13,399,41,polarar
f77r,B,13,324,40,darchdar
f77v,B,13,335,37,okain
f78r,B,13,296,41,tcshedor
f78v,B,13,292,32,pykedy
f79r,B,13,389,44,torain
f79v,B,13,355,42,poldcshedy
f7r,A,1,62,10,fchodaiin
f7v,A,1,71,9,polycshy
f80r,B,13,442,43,oraly
f80v,B,13,378,44,pchedy
f81r,B,13,208,31,polchey
f81v,B,13,258,27,par
f82r,B,13,289,32,qocsheedy
f82v,B,13,313,34,otechdy
f83r,B,13,340,49,tchedy
f83v,B,13,262,31,poldaky
f84r,B,13,360,34,ololal
f84v,B,13,337,48,otdy
f85r1,B,14,334,35,pdcsheody
f85r2,B,14,157,19,odeedy
f86v3,B,14,279,32,tchedy
f86v4,B,14,188,8,opoz
f86v5,B,14,381,39,pcshdal
f86v6,B,14,478,45,pchey
f87r,A,15,98,16,poalcshzal
f87v,A,15,89,16,pcheey
f88r,A,15,149,16,dorcsheoy
f88v,A,15,146,17,teodal
f89r1,A,15,140,14,qoar
f89r2,A,15,244,15,qokcheody
f89v1,A,15,160,16,koldal
f89v2,A,15,175,12,kozar
f8r,A,1,145,18,pcshol
f8v,A,1,119,17,cj1hod
f90r1,A,15,70,9,poleeol
f90r2,A,15,49,6,toealchz
f90v1,A,15,96,11,pcheor
f90v2,A,15,69,8,cphdaCiphy
f93r,A,17,151,32,kodcshol
f93v,A,17,89,10,pozcsheody
f94r,B,17,82,9,tchedy
f94v,B,17,101,12,kcshedy
f95r1,B,17,103,11,kcshdor
f95r2,B,17,79,9,kcshedy
f95v1,B,17,117,13,polteedy
f95v2,B,17,63,7,tchody
f96r,A,17,86,13,tor
f96v,A,17,59,13,pcsheoz
f99r,A,19,197,19,pcheody
f99v,A,19,174,19,zol
f9r,A,2,82,10,tydlo
f9v,A,2,86,12,fochor
ros,B,14,531,24,w
